ID,Target,Laagste_beoordeling
cipher-tls1_2_xc02b,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xcca9,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc009,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc02c,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc00a,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc023,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc024,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc02f,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xcca8,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc013,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc030,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc014,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc027,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_2_xc028,hacksclusive.com/199.60.103.116,Voldoende
cipher-tls1_3_x1302,hacksclusive.com/199.60.103.116,Goed
cipher-tls1_3_x1303,hacksclusive.com/199.60.103.116,Goed
cipher-tls1_3_x1301,hacksclusive.com/199.60.103.116,Goed
cipher-tls1_3_x1304,hacksclusive.com/199.60.103.116,Onvoldoende
cipher-tls1_3_x1305,hacksclusive.com/199.60.103.116,Onvoldoende
cipher-tls1_3_xc0b4,hacksclusive.com/199.60.103.116,Onvoldoende
cipher-tls1_3_xc0b5,hacksclusive.com/199.60.103.116,Onvoldoende
cipher-tls1_2_xc02b,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xcca9,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc009,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc02c,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc00a,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc023,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc024,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc02f,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xcca8,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc013,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc030,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc014,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc027,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_2_xc028,hacksclusive.com/199.60.103.16,Voldoende
cipher-tls1_3_x1302,hacksclusive.com/199.60.103.16,Goed
cipher-tls1_3_x1303,hacksclusive.com/199.60.103.16,Goed
cipher-tls1_3_x1301,hacksclusive.com/199.60.103.16,Goed
cipher-tls1_3_x1304,hacksclusive.com/199.60.103.16,Onvoldoende
cipher-tls1_3_x1305,hacksclusive.com/199.60.103.16,Onvoldoende
cipher-tls1_3_xc0b4,hacksclusive.com/199.60.103.16,Onvoldoende
cipher-tls1_3_xc0b5,hacksclusive.com/199.60.103.16,Onvoldoende
