"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","/","443","WARN","No engine or GOST support via engine with your /usr/bin/openssl","",""
"service","hacksclusive.com/199.60.103.116","443","INFO","HTTP","",""
"pre_128cipher","hacksclusive.com/199.60.103.116","443","INFO","No 128 cipher limit bug","",""
"SSLv2","hacksclusive.com/199.60.103.116","443","OK","not offered","",""
"SSLv3","hacksclusive.com/199.60.103.116","443","OK","not offered","",""
"TLS1","hacksclusive.com/199.60.103.116","443","INFO","not offered","",""
"TLS1_1","hacksclusive.com/199.60.103.116","443","INFO","not offered","",""
"TLS1_2","hacksclusive.com/199.60.103.116","443","OK","offered","",""
"TLS1_3","hacksclusive.com/199.60.103.116","443","OK","offered with final","",""
"NPN","hacksclusive.com/199.60.103.116","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","hacksclusive.com/199.60.103.116","443","OK","h2","",""
"ALPN","hacksclusive.com/199.60.103.116","443","INFO","http/1.1","",""
"cipherlist_NULL","hacksclusive.com/199.60.103.116","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","hacksclusive.com/199.60.103.116","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","hacksclusive.com/199.60.103.116","443","OK","not offered","","CWE-327"
"cipherlist_LOW","hacksclusive.com/199.60.103.116","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","hacksclusive.com/199.60.103.116","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","hacksclusive.com/199.60.103.116","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","hacksclusive.com/199.60.103.116","443","OK","offered","",""
"cipherlist_STRONG_FS","hacksclusive.com/199.60.103.116","443","OK","offered","",""
"cipher_order-tls1_2","hacksclusive.com/199.60.103.116","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","hacksclusive.com/199.60.103.116","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","hacksclusive.com/199.60.103.116","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc009","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc02c","hacksclusive.com/199.60.103.116","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc023","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc024","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc02f","hacksclusive.com/199.60.103.116","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca8","hacksclusive.com/199.60.103.116","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc013","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9c","hacksclusive.com/199.60.103.116","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x2f","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc030","hacksclusive.com/199.60.103.116","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc014","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9d","hacksclusive.com/199.60.103.116","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x35","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc027","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3c","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x3d","hacksclusive.com/199.60.103.116","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipherorder_TLSv1_2","hacksclusive.com/199.60.103.116","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-SHA AES128-GCM-SHA256 AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA AES256-GCM-SHA384 AES256-SHA ECDHE-RSA-AES128-SHA256 AES128-SHA256 ECDHE-RSA-AES256-SHA384 AES256-SHA256","",""
"prioritize_chacha_TLSv1_2","hacksclusive.com/199.60.103.116","443","INFO","true","",""
"cipher_order-tls1_3","hacksclusive.com/199.60.103.116","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","hacksclusive.com/199.60.103.116","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384                              available","",""
"cipher-tls1_3_x1303","hacksclusive.com/199.60.103.116","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256                        available","",""
"cipher-tls1_3_x1301","hacksclusive.com/199.60.103.116","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256                              available","",""
"cipher-tls1_3_x1304","hacksclusive.com/199.60.103.116","443","OK","TLSv1.3   x1304   TLS_AES_128_CCM_SHA256            any        AESCCM      128      TLS_AES_128_CCM_SHA256                              not a/v","",""
"cipher-tls1_3_x1305","hacksclusive.com/199.60.103.116","443","OK","TLSv1.3   x1305   TLS_AES_128_CCM_8_SHA256          any        AESCCM8     128      TLS_AES_128_CCM_8_SHA256                            not a/v","",""
"cipher-tls1_3_xc0b4","hacksclusive.com/199.60.103.116","443","CRITICAL","TLSv1.3   xc0b4   TLS_SHA256_SHA256                 any        None        None     TLS_SHA256_SHA256                                   not a/v","",""
"cipher-tls1_3_xc0b5","hacksclusive.com/199.60.103.116","443","CRITICAL","TLSv1.3   xc0b5   TLS_SHA384_SHA384                 any        None        None     TLS_SHA384_SHA384                                   not a/v","",""
"supportedciphers_TLSv1_3","hacksclusive.com/199.60.103.116","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","hacksclusive.com/199.60.103.116","443","OK","server -- TLS 1.3 client determined","",""
"FS","hacksclusive.com/199.60.103.116","443","OK","offered","",""
